s,bf,category
2.0799999999999996,2.8537873436107466,insensitive
2.09,2.8413088918679024,insensitive
2.0999999999999996,2.828933755465521,insensitive
2.11,2.8166607330816893,insensitive
2.1199999999999997,2.804488640414786,insensitive
2.13,2.792416309923925,insensitive
2.1399999999999997,2.7804425905727124,insensitive
2.15,2.7685663475763373,insensitive
2.1599999999999997,2.756786462152007,insensitive
2.17,2.7451018312727244,insensitive
2.1799999999999997,2.733511367424439,insensitive
2.19,2.7220139983665304,insensitive
2.1999999999999997,2.7106086668956646,insensitive
2.21,2.699294330612973,insensitive
2.2199999999999998,2.688069961694586,insensitive
2.23,2.676934546665464,insensitive
2.2399999999999998,2.6658870861765545,insensitive
2.25,2.6549265947852154,insensitive
2.26,2.644052100738916,insensitive
2.27,2.6332626457621737,insensitive
2.28,2.622557284846713,insensitive
2.29,2.6119350860448107,insensitive
2.3,2.6013951302658125,insensitive
2.31,2.5909365110757774,insensitive
2.32,2.580558334500234,insensitive
2.3299999999999996,2.5702597188300067,insensitive
2.34,2.5600397944300823,insensitive
2.3499999999999996,2.5498977035514936,insensitive
2.36,2.5398326001461617,insensitive
2.3699999999999997,2.529843649684702,insensitive
2.38,2.5199300289771056,insensitive
2.3899999999999997,2.510090925996322,insensitive
2.4,2.5003255397046487,insensitive
2.4099999999999997,2.4906330798829335,insensitive
2.42,2.4810127669625324,insensitive
2.4299999999999997,2.471463831859991,insensitive
2.44,2.461985515814413,insensitive
2.4499999999999997,2.4525770702274805,insensitive
2.46,2.4432377565060794,insensitive
2.4699999999999998,2.4339668459075137,insensitive
2.48,2.424763619387239,insensitive
2.4899999999999998,2.415627367449119,insensitive
2.5,2.4065573899981256,insensitive
