report_id,study_id,study_id_clean,result_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,quality_tool,quality_rating,page_source,extractor,checker,notes,author_key,year_online,study_key,study_label,events_raw,n_assessed_raw,timepoint_months_raw,events_intervention_raw,events_control_raw,n_control_raw
32,TURNER_001,TURNER_2019,TURNER_2019__proportion__paid_employment__18m,Turner,2019,Ireland,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,39,51.3,38,10,18,18,proportion,employment,Paid employment,At least one month of paid employment during the follow-up period,period,21,34,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.618,NA,NA,,EPHPP,Weak,p.6 Results,YN,HZ,"Follow-up was a mean of 19 months (range 2 to 44), not a fixed 18 months",TURNER,2019,TURNER_2019,Turner 2019,21,34,18,NA,NA,NA
33,VANDUIN_001,VANDUIN_2021,VANDUIN_2021__proportion__competitive_employment__18m,van Duin,2021,Netherlands,Europe,RCT,Outpatient,FEP,DSM-IV,73,71,27.05,5.6,18,18,proportion,employment,Competitive employment,In competitive employment at 18-month follow-up,point,25,56,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.446,NA,NA,,EPHPP,Moderate,p.5 Table 2,YN,HZ,,VANDUIN,2021,VANDUIN_2021,van Duin 2021,25,56,18,NA,NA,NA
34,VANDUIN_002,VANDUIN_2021,VANDUIN_2021__trial_binary__competitive_employment__18m,van Duin,2021,Netherlands,Europe,RCT,Outpatient,FEP,DSM-IV,73,71,27.05,5.6,18,18,trial_binary,employment,Competitive employment,In competitive employment at 18-month follow-up,point,NA,NA,18,29,7,27,IPS + Cognitive Remediation (CR),IPS + control (computer games),NA,NA,,NA,NA,NA,,NA,NA,NA,RR,2.4,NA,NA,,EPHPP,Moderate,p.5 Table 2,YN,HZ,,VANDUIN,2021,VANDUIN_2021,van Duin 2021,NA,NA,18,18,7,27
35,WILLIAMS_002,WILLIAMS_2016,WILLIAMS_2016__proportion__job_retention__6m,Williams,2016,Australia,Oceania,Cohort,Outpatient,FEP,Clinical diagnosis,11,54.5,21.5,2,6,6,proportion,employment,Job retention,Maintaining original competitive employment at 6-month follow-up,point,2,11,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.182,NA,NA,,EPHPP,Weak,p.4 Table 3,YN,HZ,,WILLIAMS,2016,WILLIAMS_2016,Williams 2016,2,11,6,NA,NA,NA
36,CHUA_002,CHUA_2019,CHUA_2019__smd__panss_total__24m,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,symptoms,PANSS total,PANSS total score at 24 months,,NA,NA,NA,NA,NA,NA,,,NA,NA,Meaningfully employed at 24 months,65.8,17.3,829,Unemployed at 24 months,69.9,17.5,348,,NA,NA,NA,,EPHPP,Moderate,p.3 Table 1,YN,HZ,,CHUA,2019,CHUA_2019,Chua 2019,NA,NA,24,NA,NA,NA
37,CHUA_003,CHUA_2019,CHUA_2019__smd__panss_negative__24m,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,symptoms,PANSS negative,PANSS negative subscale score at 24 months,,NA,NA,NA,NA,NA,NA,,,NA,NA,Meaningfully employed at 24 months,12.3,6.6,829,Unemployed at 24 months,15.1,8.1,348,,NA,NA,NA,,EPHPP,Moderate,p.3 Table 1,YN,HZ,,CHUA,2019,CHUA_2019,Chua 2019,NA,NA,24,NA,NA,NA
38,CHUA_004,CHUA_2019,CHUA_2019__smd__gaf_disability__24m,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,functioning,GAF disability,GAF disability subscale score at 24 months,,NA,NA,NA,NA,NA,NA,,,NA,NA,Meaningfully employed at 24 months,46.2,13.5,829,Unemployed at 24 months,43.3,12.4,348,,NA,NA,NA,,EPHPP,Moderate,p.3 Table 1,YN,HZ,,CHUA,2019,CHUA_2019,Chua 2019,NA,NA,24,NA,NA,NA
39,LIN_002,LIN_2026,LIN_2026__correlation__panss_remission__18m,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,18,correlation,symptoms,PANSS remission,PANSS remission at month 18,,NA,NA,NA,NA,NA,NA,,,0.18,280,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,EPHPP,Weak,p.5 Table 2D,YN,HZ,,LIN,2026,LIN_2026,Lin 2026,NA,NA,18,NA,NA,NA
40,LIN_003,LIN_2026,LIN_2026__correlation__psp_remission__18m,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,18,correlation,functioning,PSP remission,PSP score >70 at month 18 (functional remission),,NA,NA,NA,NA,NA,NA,,,0.33199999999999996,280,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,EPHPP,Weak,p.5 Table 2D,YN,HZ,,LIN,2026,LIN_2026,Lin 2026,NA,NA,18,NA,NA,NA
41,POTHIER_002,POTHIER_2019,POTHIER_2019__correlation__working_memory_mccb___6m,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Working memory (MCCB),MATRICS Consensus Cognitive Battery _ working memory domain T-score at baseline,,NA,NA,NA,NA,NA,NA,,,0.38,27,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,EPHPP,Moderate,p.5 Table 3,YN,HZ,,POTHIER,2019,POTHIER_2019,Pothier 2019,NA,NA,6,NA,NA,NA
42,POTHIER_003,POTHIER_2019,POTHIER_2019__correlation__speed_of_processing_mccb___6m,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Speed of processing (MCCB),MATRICS Consensus Cognitive Battery _ speed of processing domain T-score at baseline,,NA,NA,NA,NA,NA,NA,,,0.39,27,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,EPHPP,Moderate,p.5 Table 3,YN,HZ,,POTHIER,2019,POTHIER_2019,Pothier 2019,NA,NA,6,NA,NA,NA
43,POTHIER_004,POTHIER_2019,POTHIER_2019__correlation__attention_vigilance_mccb___6m,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Attention / vigilance (MCCB),MATRICS Consensus Cognitive Battery _ attention/vigilance domain T-score at baseline,,NA,NA,NA,NA,NA,NA,,,0.36,27,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,EPHPP,Moderate,p.5 Table 3,YN,HZ,,POTHIER,2019,POTHIER_2019,Pothier 2019,NA,NA,6,NA,NA,NA
44,POTHIER_005,POTHIER_2019,POTHIER_2019__correlation__global_cognition_mccb___6m,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Global cognition (MCCB),MATRICS Consensus Cognitive Battery _ global cognitive index composite T-score at baseline,,NA,NA,NA,NA,NA,NA,,,0.32,27,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,EPHPP,Moderate,p.5 Table 3,YN,HZ,,POTHIER,2019,POTHIER_2019,Pothier 2019,NA,NA,6,NA,NA,NA
