study_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,page_source,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,reported_source,corrected_es,corrected_ci_low,corrected_ci_high,corrected_source,derived_RR,derived_es,derived_ci_low,derived_ci_high,pct_schizophrenia,pct_schizoaffective,pct_bipolar,pct_psychotic_depression,pct_other,diagnostic_source,illness_duration_mean,illness_duration_source,quality_tool,quality_rating_Selection Bias,quality_rating_Study Design,quality_rating_Confounders,quality_rating_Data Collection Methods,quality_rating_Withdrawals and Dropouts,quality_rating_Analyses (appropriateness),quality_rating,extractor,checker,notes
TURNER_001,Turner,2019,Ireland,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,39,51.3,38,10,2_44,2_44,proportion,employment,Paid employment,At least one month of paid employment during the follow-up period ,period,21,34,p.6 Results,,,,,,,,,,,,,,,,,proportion,0.618,,,,,,,,,,,,,46.2,25.6,,,28.2,p.5 Results,,,EPHPP,Moderate,Weak,Weak,Strong,Strong,Yes,Weak,YN,HZ,
VANDUIN_001,van Duin,2021,Netherlands,Europe,RCT,Outpatient,FEP,DSM-IV,73,71,27.05,5.6,18,18,proportion,employment,Competitive employment,In competitive employment at 18-month follow-up,point,25,56,p.5 Table 2,,,,,,,,,,,,,,,,,proportion,0.446,,,,,,,,,,,,,20.5,5.5,,2.7,71.3,Table 1,2.57 years,Table 1,EPHPP,Weak,Strong,Strong,Strong,Moderate,Yes,Moderate,YN,HZ,
VANDUIN_002,van Duin,2021,Netherlands,Europe,RCT,Outpatient,FEP,DSM-IV,73,71,27.05,5.6,18,18,trial_binary,employment,Competitive employment,In competitive employment at 18-month follow-up,point,,,,18,29,7,27,IPS + Cognitive Remediation£¨CR£©,IPS + control (computer games),,,,,,,,,,,/,/,,,,,,,,,RR,2.39,1.19,4.8,,,,,,,,,EPHPP,Weak,Strong,Strong,Strong,Moderate,Yes,Moderate,YN,HZ,
WILLIAMS_002,Williams,2016,Australia,Oceania,Cohort,Outpatient,FEP,Clinical diagnosis,11,54.5,21.5,2,6,6,proportion,employment,Job retention,Maintaining original competitive employment at 6-month follow-up,point,2,11,p.4 Table 3,,,,,,,,,,,,,,,,,proportion,0.182,,,,,,,,,,,,,90.9,,,,9.1,p.2 Table 2,,,EPHPP,Weak,Weak,Weak,Moderate,Strong,Yes,Weak,YN,HZ,
CHUA_002,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,symptoms,PANSS total,PANSS total score at 24 months,,,,p.3 Table 1,,,,,,,,,Meaningfully employed at 24 months,65.8,17.3,829,Unemployed at 24 months,69.9,17.5,348,,,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Moderate,Yes,Moderate,YN,HZ,
CHUA_003,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,symptoms,PANSS negative,PANSS negative subscale score at 24 months,,,,p.3 Table 1,,,,,,,,,Meaningfully employed at 24 months,12.3,6.6,829,Unemployed at 24 months,15.1,8.1,348,,,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Moderate,Yes,Moderate,YN,HZ,
CHUA_004,Chua,2019,Singapore,Asia,Cohort,Outpatient,FEP,DSM-IV,1177,49.2,27.5,6.5,24,24,smd,functioning,GAF disability,GAF disability subscale score at 24 months,,,,p.3 Table 1,,,,,,,,,Meaningfully employed at 24 months,46.2,13.5,829,Unemployed at 24 months,43.3,12.4,348,,,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Moderate,Yes,Moderate,YN,HZ,
POTHIER_002,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Working memory£¨MCCB£©,MATRICS Consensus Cognitive Battery _ working memory domain T-score at baseline,,,,p.5 Table 3,,,,,,,0.38,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,YN,HZ,
POTHIER_003,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Speed of processing£¨MCCB£©,MATRICS Consensus Cognitive Battery _ speed of processing domain T-score at baseline,,,,p.5 Table 3,,,,,,,0.39,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,YN,HZ,
POTHIER_004,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Attention / vigilance£¨MCCB£©,MATRICS Consensus Cognitive Battery _ attention/vigilance domain T-score at baseline,,,,p.5 Table 3,,,,,,,0.36,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,YN,HZ,
POTHIER_005,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,correlation,cognition,Global cognition£¨MCCB£©,MATRICS Consensus Cognitive Battery _ global cognitive index composite T-score at baseline,,,,p.5 Table 3,,,,,,,0.32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,YN,HZ,
